"","Id","ActivityDate","TotalSteps","TotalDistance","TrackerDistance","VeryActiveDistance","ModeratelyActiveDistance","LightActiveDistance","VeryActiveMinutes","FairlyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","Calories","TotalMinutesAsleep","TotalTimeInBed","HeartrateMean","Sleep8h","IsActive"
"21",4020332650,2016-04-16,1982,1.41999995708466,1.41999995708466,0.449999988079071,0.370000004768372,0.589999973773956,65,21,55,1222,3051,77,77,100.90332042708,FALSE,TRUE
"22",4020332650,2016-05-03,4496,3.22000002861023,3.22000002861023,0,0,3.15000009536743,0,0,174,950,2828,322,332,77.8770095559303,FALSE,FALSE
"23",4020332650,2016-05-04,10252,7.34999990463257,7.34999990463257,0.670000016689301,1.03999996185303,5.57999992370605,13,46,346,531,3879,478,536,83.4561661803678,FALSE,TRUE
"24",4020332650,2016-05-05,11728,8.43000030517578,8.43000030517578,2.61999988555908,1.67999994754791,4.03999996185303,38,42,196,916,3429,226,248,85.5747431068954,FALSE,TRUE
"25",4020332650,2016-05-06,4369,3.13000011444092,3.13000011444092,0,0,3.09999990463257,0,0,177,855,2704,385,408,75.6428322827642,FALSE,FALSE
"26",4020332650,2016-05-08,5862,4.19999980926514,4.19999980926514,0,0,4.15000009536743,0,0,263,775,3089,364,402,78.0410612388964,FALSE,FALSE
"27",4020332650,2016-05-10,5546,3.98000001907349,3.98000001907349,0,0,3.86999988555908,0,0,206,774,2926,442,494,72.6197037902478,FALSE,FALSE
"28",4388161847,2016-04-15,8758,6.73000001907349,6.73000001907349,0,0,6.73000001907349,0,0,299,837,3066,499,526,67.4709397066812,TRUE,FALSE
"29",4388161847,2016-04-16,6580,5.05999994277954,5.05999994277954,0.209999993443489,0.400000005960464,4.44999980926514,6,9,253,609,3073,426,448,75.4765886287625,FALSE,FALSE
"30",4388161847,2016-04-17,4660,3.57999992370605,3.57999992370605,0,0,3.57999992370605,0,0,201,721,2572,619,641,66.3913450292398,TRUE,FALSE
"31",4388161847,2016-04-18,11009,9.10000038146973,9.10000038146973,3.55999994277954,0.400000005960464,5.1399998664856,27,8,239,1017,3274,99,104,81.4909949074649,FALSE,TRUE
"32",4388161847,2016-04-19,10181,7.82999992370605,7.82999992370605,1.37000000476837,0.689999997615814,5.76999998092651,20,16,249,704,3015,329,338,65.5324563295234,FALSE,TRUE
"33",4388161847,2016-04-20,10553,8.11999988555908,8.11999988555908,1.10000002384186,1.72000002861023,5.28999996185303,19,42,228,696,3083,421,451,65.4012586805556,FALSE,TRUE
"34",4388161847,2016-04-21,10055,7.73000001907349,7.73000001907349,0.370000004768372,0.389999985694885,6.98000001907349,7,12,272,853,3069,442,458,63.0992791197673,FALSE,FALSE
"35",4388161847,2016-04-22,12139,9.34000015258789,9.34000015258789,3.29999995231628,1.11000001430511,4.92000007629395,77,25,220,945,3544,82,85,73.2771992326665,FALSE,TRUE
"36",4388161847,2016-04-23,13236,10.1800003051758,10.1800003051758,4.5,0.319999992847443,5.34999990463257,58,5,215,749,3306,478,501,67.0807420115805,FALSE,TRUE
"37",4388161847,2016-04-24,10243,7.88000011444092,7.88000011444092,1.08000004291534,0.509999990463257,6.30000019073486,14,8,239,584,2885,552,595,62.1016968717534,TRUE,FALSE
"38",4388161847,2016-04-26,9461,7.28000020980835,7.28000020980835,0.939999997615814,1.05999994277954,5.26999998092651,14,23,224,673,2929,319,346,62.5135984397009,FALSE,TRUE
"39",4388161847,2016-04-27,11193,8.60999965667725,8.60999965667725,0.699999988079071,2.50999999046326,5.3899998664856,11,48,241,684,3074,439,500,62.1205218693188,FALSE,TRUE
"40",4388161847,2016-04-28,10074,7.75,7.75,1.28999996185303,0.430000007152557,6.03000020980835,19,9,234,878,2969,428,458,62.3264834318007,FALSE,FALSE
"41",4388161847,2016-04-30,12533,9.64000034332275,9.64000034332275,0.699999988079071,2,6.94000005722046,14,43,300,537,3283,409,430,64.2276929692539,FALSE,TRUE
"42",4388161847,2016-05-01,10255,7.8899998664856,7.8899998664856,1.00999999046326,0.680000007152557,6.19999980926514,12,15,241,579,2926,547,597,60.0221794726717,TRUE,FALSE
"43",4388161847,2016-05-02,10096,8.39999961853027,8.39999961853027,3.76999998092651,0.0799999982118607,4.55000019073486,33,4,204,935,3147,368,376,66.3949610516066,FALSE,TRUE
"44",4388161847,2016-05-04,12375,9.52000045776367,9.52000045776367,2.78999996185303,0.930000007152557,5.80000019073486,35,21,251,632,3162,390,414,61.9476668120366,FALSE,TRUE
"45",4388161847,2016-05-05,9603,7.38000011444092,7.38000011444092,0.629999995231628,1.66999995708466,5.09000015258789,12,39,199,896,2899,471,495,61.0412979351032,FALSE,TRUE
"46",4388161847,2016-05-05,9603,7.38000011444092,7.38000011444092,0.629999995231628,1.66999995708466,5.09000015258789,12,39,199,896,2899,471,495,61.0412979351032,FALSE,TRUE
"47",4388161847,2016-05-07,22770,17.5400009155273,17.5400009155273,9.44999980926514,2.76999998092651,5.32999992370605,120,56,260,508,4022,472,496,66.6271204079509,FALSE,TRUE
"48",4388161847,2016-05-08,17298,14.3800001144409,14.3800001144409,9.89000034332275,1.25999999046326,3.23000001907349,107,38,178,576,3934,529,541,76.7801103776648,TRUE,TRUE
"49",4388161847,2016-05-09,10218,7.8600001335144,7.8600001335144,0.340000003576279,0.730000019073486,6.78999996185303,6,19,258,1020,3013,62,65,64.0517171717172,FALSE,FALSE
"50",4388161847,2016-05-10,10299,7.92000007629395,7.92000007629395,0.810000002384186,0.649999976158142,6.46000003814697,13,14,267,648,3061,354,375,61.2212170166936,FALSE,FALSE
"51",4388161847,2016-05-11,10201,7.84000015258789,7.84000015258789,0.529999971389771,0.790000021457672,6.53000020980835,8,18,256,858,2954,469,494,59.971966110142,FALSE,FALSE
"52",4558609924,2016-04-21,13743,9.07999992370605,9.07999992370605,0.419999986886978,0.970000028610229,7.69999980926514,6,21,432,844,2486,126,137,85.6623871869836,FALSE,FALSE
"53",4558609924,2016-04-26,9148,6.05000019073486,6.05000019073486,0.430000007152557,2.02999997138977,3.58999991416931,12,41,283,1062,2223,103,121,91.335402888379,FALSE,TRUE
"54",4558609924,2016-04-29,7833,5.17999982833862,5.17999982833862,1.01999998092651,1.85000002384186,2.30999994277954,15,29,197,1096,1918,171,179,80.5550914590235,FALSE,TRUE
"55",4558609924,2016-05-01,3428,2.26999998092651,2.26999998092651,0,0,2.26999998092651,0,0,190,1121,1692,115,129,70.8419040336456,FALSE,FALSE
"56",4558609924,2016-05-08,6543,4.32999992370605,4.32999992370605,1.79999995231628,0.5,2.01999998092651,66,35,238,1019,2666,123,134,104.871471993053,FALSE,TRUE
"57",5553957443,2016-04-12,11596,7.57000017166138,7.57000017166138,1.37000000476837,0.790000021457672,5.40999984741211,19,13,277,767,2026,441,464,64.3651135005974,FALSE,TRUE
"58",5553957443,2016-04-13,4832,3.16000008583069,3.16000008583069,0,0,3.16000008583069,0,0,226,647,1718,455,488,61.4834182089181,FALSE,FALSE
"59",5553957443,2016-04-14,17022,11.1199998855591,11.1199998855591,4,2.45000004768372,4.67000007629395,61,41,256,693,2324,357,418,72.560471679097,FALSE,TRUE
"60",5553957443,2016-04-15,16556,10.8599996566772,10.8599996566772,4.15999984741211,1.98000001907349,4.71000003814697,58,38,239,689,2254,377,409,69.0200328407225,FALSE,TRUE
"61",5553957443,2016-04-16,5771,3.76999998092651,3.76999998092651,0,0,3.76999998092651,0,0,288,521,1831,651,686,66.0213644088371,TRUE,FALSE
"62",5553957443,2016-04-17,655,0.430000007152557,0.430000007152557,0,0,0.430000007152557,0,0,46,943,1397,350,402,59.3771746694502,FALSE,FALSE
"63",5553957443,2016-04-18,3727,2.4300000667572,2.4300000667572,0,0,2.4300000667572,0,0,206,622,1683,520,541,65.3844028632425,TRUE,FALSE
"64",5553957443,2016-04-19,15482,10.1099996566772,10.1099996566772,4.28000020980835,1.6599999666214,4.17999982833862,69,28,249,756,2284,357,410,74.8875331063186,FALSE,TRUE
"65",5553957443,2016-04-20,2713,1.76999998092651,1.76999998092651,0,0,1.76999998092651,0,0,148,598,1570,658,678,60.0404175263988,TRUE,FALSE
"66",5553957443,2016-04-21,12346,8.0600004196167,8.0600004196167,2.95000004768372,2.16000008583069,2.96000003814697,47,42,177,801,2066,399,431,71.3322533795107,FALSE,TRUE
"67",5553957443,2016-04-22,11682,7.63000011444092,7.63000011444092,1.37999999523163,0.629999995231628,5.59999990463257,25,16,270,781,2105,322,353,70.4284771126761,FALSE,TRUE
"68",5553957443,2016-04-23,4112,2.69000005722046,2.69000005722046,0,0,2.6800000667572,0,0,272,443,1776,631,725,67.074078549849,TRUE,FALSE
"69",5553957443,2016-04-24,1807,1.17999994754791,1.17999994754791,0,0,1.17999994754791,0,0,104,582,1507,553,640,63.972763141148,TRUE,FALSE
"70",5553957443,2016-04-25,10946,7.19000005722046,7.19000005722046,2.9300000667572,0.569999992847443,3.69000005722046,51,11,201,732,2033,433,468,72.0462629569013,FALSE,TRUE
"71",5553957443,2016-04-26,11886,7.76000022888184,7.76000022888184,2.36999988555908,0.930000007152557,4.46000003814697,40,18,238,750,2093,412,453,73.0132242519332,FALSE,TRUE
"72",5553957443,2016-04-27,10538,6.88000011444092,6.88000011444092,1.13999998569489,1,4.73999977111816,16,16,206,745,1922,347,391,65.0707639287766,FALSE,TRUE
"73",5553957443,2016-04-28,11393,7.63000011444092,7.63000011444092,3.71000003814697,0.75,3.17000007629395,49,13,165,727,1999,421,457,71.0716480140443,FALSE,TRUE
"74",5553957443,2016-04-29,12764,8.32999992370605,8.32999992370605,2.78999996185303,0.639999985694885,4.90999984741211,46,15,270,709,2169,450,495,73.0741700811105,FALSE,TRUE
"75",5553957443,2016-04-30,1202,0.779999971389771,0.779999971389771,0,0,0.779999971389771,0,0,84,506,1463,775,843,65.7799950112247,TRUE,FALSE
"76",5553957443,2016-05-01,5164,3.36999988555908,3.36999988555908,0,0,3.36999988555908,0,0,237,436,1747,622,686,66.5434498956159,TRUE,FALSE
"77",5553957443,2016-05-02,9769,6.38000011444092,6.38000011444092,1.05999994277954,0.409999996423721,4.90000009536743,23,9,227,724,1996,409,471,72.5914265203569,FALSE,TRUE
"78",5553957443,2016-05-03,12848,8.39000034332275,8.39000034332275,1.5,1.20000004768372,5.67999982833862,26,29,247,812,2116,380,429,69.9531233315537,FALSE,TRUE
"79",5553957443,2016-05-04,4249,2.76999998092651,2.76999998092651,0,0,2.76999998092651,0,0,224,651,1698,447,470,61.6721834732238,FALSE,FALSE
"80",5553957443,2016-05-05,14331,9.51000022888184,9.51000022888184,3.4300000667572,1.6599999666214,4.42999982833862,44,29,241,692,2156,419,464,69.4014172571905,FALSE,TRUE
"81",5553957443,2016-05-06,9632,6.28999996185303,6.28999996185303,1.51999998092651,0.540000021457672,4.23000001907349,21,9,229,761,1916,400,434,63.1651966960661,FALSE,TRUE
"82",5553957443,2016-05-07,1868,1.22000002861023,1.22000002861023,0,0,1.22000002861023,0,0,96,902,1494,442,470,63.0264423076923,FALSE,FALSE
"83",5553957443,2016-05-08,6083,4,4,0.219999998807907,0.469999998807907,3.29999995231628,3,8,210,505,1762,568,608,65.5694360947457,TRUE,FALSE
"84",5553957443,2016-05-09,11611,7.57999992370605,7.57999992370605,2.13000011444092,0.889999985694885,4.55999994277954,59,22,251,667,2272,453,494,76.6561288398449,FALSE,TRUE
"85",5553957443,2016-05-10,16358,10.710000038147,10.710000038147,3.86999988555908,1.61000001430511,5.19999980926514,61,40,265,707,2335,418,443,76.8326943871031,FALSE,TRUE
"86",5553957443,2016-05-11,4926,3.22000002861023,3.22000002861023,0,0,3.22000002861023,0,0,195,628,1693,463,486,65.4005089058524,FALSE,FALSE
"87",5553957443,2016-05-12,3121,2.03999996185303,2.03999996185303,0.579999983310699,0.400000005960464,1.05999994277954,8,6,48,222,741,438,475,64.1953226504981,FALSE,FALSE
"88",5577150313,2016-04-12,8135,6.07999992370605,6.07999992370605,3.59999990463257,0.379999995231628,2.09999990463257,86,16,140,728,3405,419,438,65.6560736902706,FALSE,TRUE
"89",5577150313,2016-04-13,5077,3.78999996185303,3.78999996185303,0.319999992847443,0.219999998807907,3.25,15,11,144,776,2551,432,458,59.7035779576913,FALSE,FALSE
"90",5577150313,2016-04-14,8596,6.42000007629395,6.42000007629395,3.32999992370605,0.310000002384186,2.77999997138977,118,30,176,662,4022,477,497,76.8357128288803,FALSE,TRUE
"91",5577150313,2016-04-15,12087,9.07999992370605,9.07999992370605,3.92000007629395,1.60000002384186,3.55999994277954,115,54,199,695,4005,392,413,73.6821951649903,FALSE,TRUE
"92",5577150313,2016-04-16,14269,10.6599998474121,10.6599998474121,6.6399998664856,1.27999997138977,2.73000001907349,184,56,158,472,4274,406,445,69.8425502898057,FALSE,TRUE
"93",5577150313,2016-04-17,12231,9.14000034332275,9.14000034332275,5.98000001907349,0.829999983310699,2.3199999332428,200,37,159,525,4552,549,583,71.1175418994413,TRUE,TRUE
"94",5577150313,2016-04-18,9893,7.3899998664856,7.3899998664856,4.8600001335144,0.720000028610229,1.82000005245209,114,32,130,623,3625,527,553,68.649090276973,TRUE,TRUE
"95",5577150313,2016-04-19,12574,9.42000007629395,9.42000007629395,7.01999998092651,0.639999985694885,1.75999999046326,108,23,111,733,3501,449,465,70.4602515287874,FALSE,TRUE
"96",5577150313,2016-04-20,8330,6.21999979019165,6.21999979019165,4.11999988555908,0.340000003576279,1.75999999046326,87,16,113,773,3192,447,480,69.1730680948738,FALSE,TRUE
"97",5577150313,2016-04-21,10830,8.09000015258789,8.09000015258789,3.65000009536743,1.6599999666214,2.77999997138977,110,74,175,670,4018,414,437,72.3113002176925,FALSE,TRUE
"98",5577150313,2016-04-22,9172,6.84999990463257,6.84999990463257,2.42000007629395,0.790000021457672,3.29999995231628,62,30,200,823,3329,338,366,64.6484870230834,FALSE,TRUE
"99",5577150313,2016-04-23,7638,5.71000003814697,5.71000003814697,1.21000003814697,0.360000014305115,4.1399998664856,24,24,223,627,3152,384,402,65.0789998826153,FALSE,TRUE
"100",5577150313,2016-04-24,15764,11.7799997329712,11.7799997329712,7.65000009536743,2.15000009536743,1.98000001907349,210,65,141,425,4392,543,615,72.2686495562485,TRUE,TRUE
"101",5577150313,2016-04-25,6393,4.78000020980835,4.78000020980835,1.35000002384186,0.670000016689301,2.75999999046326,61,38,214,743,3374,421,461,67.5454545454545,FALSE,TRUE
"102",5577150313,2016-04-26,5325,3.98000001907349,3.98000001907349,0.850000023841858,0.649999976158142,2.47000002861023,38,32,181,759,3088,354,377,65.3598813327248,FALSE,TRUE
"103",5577150313,2016-04-27,6805,5.1399998664856,5.1399998664856,1.80999994277954,0.400000005960464,2.9300000667572,63,16,190,773,3294,424,452,66.4282777523984,FALSE,TRUE
"104",5577150313,2016-04-28,9841,7.42999982833862,7.42999982833862,3.25,1.16999995708466,3.00999999046326,99,51,141,692,3580,361,372,70.6877069079673,FALSE,TRUE
"105",5577150313,2016-04-29,7924,5.92000007629395,5.92000007629395,2.83999991416931,0.610000014305115,2.47000002861023,97,36,165,739,3544,459,485,66.2664141414141,FALSE,TRUE
"106",5577150313,2016-04-30,12363,9.23999977111816,9.23999977111816,5.82999992370605,0.790000021457672,2.60999989509583,207,45,163,621,4501,412,433,71.5554940798938,FALSE,TRUE
"107",5577150313,2016-05-01,13368,9.98999977111816,9.98999977111816,5.30999994277954,1.44000005722046,3.24000000953674,194,72,178,499,4546,379,398,73.7035750308192,FALSE,TRUE
"108",5577150313,2016-05-02,7439,5.55999994277954,5.55999994277954,1.12000000476837,0.349999994039536,4.07000017166138,37,20,235,732,3014,525,553,64.6094660194175,TRUE,TRUE
"109",5577150313,2016-05-03,11045,8.25,8.25,4.51999998092651,0.150000005960464,3.5699999332428,97,8,212,580,3795,508,543,70.0006904487917,TRUE,TRUE
"110",5577150313,2016-05-04,5206,3.89000010490417,3.89000010490417,1.55999994277954,0.25,2.07999992370605,25,9,141,631,2755,603,634,62.2458816351434,TRUE,TRUE
"111",5577150313,2016-05-05,7550,5.6399998664856,5.6399998664856,2.5,0.469999998807907,2.67000007629395,45,21,143,1153,3004,74,78,72.2105796513985,FALSE,TRUE
"112",5577150313,2016-05-10,8869,6.65000009536743,6.65000009536743,2.55999994277954,0.75,3.34999990463257,104,37,194,639,3841,504,562,75.2928488320057,TRUE,TRUE
"113",5577150313,2016-05-11,4038,3.03999996185303,3.03999996185303,1.83000004291534,0.300000011920929,0.889999985694885,45,15,63,257,1665,431,476,67.0406794814484,FALSE,TRUE
"114",6117666160,2016-04-16,14450,10.9099998474121,10.9099998474121,0.579999983310699,0.850000023841858,9.47999954223633,7,15,518,502,2828,380,398,87.0274566473989,FALSE,FALSE
"115",6117666160,2016-04-17,7150,5.40000009536743,5.40000009536743,0,0,5.40000009536743,0,0,312,702,2225,336,350,85.353021978022,FALSE,FALSE
"116",6117666160,2016-04-18,5153,3.91000008583069,3.91000008583069,0,0,3.89000010490417,0,0,241,759,2018,493,510,82.9144242424242,TRUE,FALSE
"117",6117666160,2016-04-19,11135,8.40999984741211,8.40999984741211,0,0,8.40999984741211,0,0,480,425,2606,465,492,83.5081252044934,FALSE,FALSE
"118",6117666160,2016-04-20,10449,8.02000045776367,8.02000045776367,2.02999997138977,0.479999989271164,5.51999998092651,26,10,349,587,2536,474,502,85.5043563493792,FALSE,TRUE
"119",6117666160,2016-04-21,19542,15.0100002288818,15.0100002288818,0.980000019073486,0.400000005960464,5.61999988555908,11,19,294,579,4900,508,550,79.4015641855448,TRUE,TRUE
"120",6117666160,2016-04-22,8206,6.19999980926514,6.19999980926514,0,0,6.19999980926514,0,0,402,413,2409,480,546,81.7020639147803,TRUE,FALSE
"121",6117666160,2016-04-23,11495,8.68000030517578,8.68000030517578,0,0,8.68000030517578,0,0,512,468,2651,492,539,81.7952380952381,TRUE,FALSE
"122",6117666160,2016-04-24,7623,5.76000022888184,5.76000022888184,0,0,5.76000022888184,0,0,362,711,2305,353,367,84.2059651097355,FALSE,FALSE
"123",6117666160,2016-04-27,9411,7.1100001335144,7.1100001335144,0,0,7.1100001335144,0,0,458,417,2576,542,557,83.1490405582207,TRUE,FALSE
"124",6117666160,2016-04-28,3403,2.59999990463257,2.59999990463257,0,0,2.59999990463257,0,0,141,758,1879,393,416,80.0952262555942,FALSE,FALSE
"125",6117666160,2016-04-29,9592,7.23999977111816,7.23999977111816,0,0,7.23999977111816,0,0,461,479,2560,600,636,82.1624183006536,TRUE,FALSE
"126",6117666160,2016-05-01,8915,6.73000001907349,6.73000001907349,0,0,6.73000001907349,0,0,397,525,2361,507,575,77.4391427416094,TRUE,FALSE
